POA_CODE_2021,Intct_fam_no_otr_chld_pre_Fam,Step_fam_no_otr_chld_pre_Fam,Blnd_fam_no_otr_chld_pre_Fam,Intct_fam_othr_child_pres_Fam,Step_fam_othr_child_pres_Fam,Blnd_fam_othr_child_pres_Fam,Otr_cpl_fam_otr_chld_only_Fam,Tot_Families
POA6155,7462,841,178,84,12,7,22,8607
POA6156,1998,273,61,12,0,0,6,2348
POA6157,1436,190,41,6,0,0,0,1668
POA6158,840,126,21,0,0,0,5,987
POA6159,295,38,5,8,0,0,3,347
POA6160,568,93,9,0,0,0,0,681
POA6161,5,0,0,0,0,0,0,3
POA6162,1122,151,25,12,0,0,0,1306
POA6163,4895,724,145,49,3,0,28,5850
POA6164,7966,1216,329,68,15,7,39,9638
POA6165,0,0,0,0,0,0,0,3
POA6166,1231,192,48,10,0,0,4,1487
POA6167,2503,515,174,29,5,3,25,3256
POA6168,1430,385,130,24,10,0,21,2005
POA6169,2868,726,223,42,7,0,31,3905
POA6170,1974,366,126,39,5,0,11,2521
POA6171,3938,1076,353,38,8,6,25,5444
POA6172,1220,353,102,17,13,7,24,1731
POA6173,1445,380,116,12,6,0,12,1968
POA6174,526,142,37,6,0,0,3,723
POA6175,411,101,33,5,0,0,4,560
POA6176,220,69,15,3,0,0,0,314
POA6180,611,207,57,10,0,0,6,888
POA6181,63,5,4,0,0,0,0,70
POA6182,0,0,0,0,0,0,0,0
POA6207,121,34,8,0,0,0,5,165
POA6208,848,290,87,15,0,5,29,1274
POA6209,138,31,11,3,0,0,4,189
POA6210,5010,1509,374,53,20,7,69,7040
POA6211,648,222,57,12,6,0,4,949
POA6213,46,11,4,0,0,0,3,64
POA6214,63,18,6,0,0,0,3,87
POA6215,313,84,20,9,0,0,7,434
POA6218,33,7,8,0,0,0,0,49
POA6219,55,8,5,0,0,0,4,66
POA6220,374,58,26,3,0,0,0,474
POA6221,23,7,0,0,0,0,0,30
POA6223,14,3,0,0,0,0,0,26
POA6224,92,21,13,3,0,0,0,131
POA6225,632,149,59,18,9,0,15,873
POA6226,97,26,6,0,0,0,0,132
POA6227,93,17,0,0,0,0,0,117
POA6228,11,0,0,0,0,0,0,13
POA6229,8,0,0,0,0,0,0,7
POA6230,3462,732,235,44,13,4,32,4515
POA6232,1014,236,82,18,3,0,11,1360
POA6233,1942,433,129,23,6,3,15,2550
POA6236,208,32,9,5,0,0,6,258
POA6237,262,45,14,0,0,0,0,324
POA6239,366,80,23,7,0,0,0,471
POA6240,14,0,0,0,0,0,0,15
POA6243,10,0,0,0,0,0,0,12
POA6244,123,14,6,0,0,0,0,144
POA6251,28,7,0,0,0,0,0,30
POA6252,10,3,0,0,0,0,0,14
POA6253,34,9,3,0,0,0,0,43
POA6254,31,6,4,0,0,0,0,40
POA6255,318,65,27,3,0,0,0,406
POA6256,40,8,0,3,0,0,0,47
POA6258,494,84,32,9,0,0,3,615
POA6260,105,13,3,0,5,0,0,127
POA6262,42,11,5,0,0,0,0,56
POA6271,276,75,20,0,0,0,4,374
POA6275,85,20,11,0,0,0,0,114
POA6280,2369,574,157,25,7,0,17,3157
POA6281,786,169,27,3,0,0,4,987
POA6282,149,26,6,0,0,0,0,178
POA6284,308,48,12,0,3,0,0,371
POA6285,948,189,40,0,0,0,5,1188
POA6286,71,9,0,0,0,0,0,87
POA6288,42,16,0,0,0,0,0,61
POA6290,93,24,0,0,0,0,5,115
POA6302,204,42,15,5,0,0,8,270
POA6304,114,27,3,0,5,0,8,145
POA6306,75,8,4,0,0,0,0,93
POA6308,105,16,7,0,0,0,0,135
POA6309,17,9,0,0,0,0,0,23
POA6311,41,8,4,0,0,0,0,58
POA6312,326,38,10,4,3,0,8,381
POA6313,26,0,0,0,0,0,0,26
POA6315,115,18,10,6,0,0,0,149
POA6316,39,4,6,0,0,0,0,46
POA6317,317,36,15,3,0,0,6,380
POA6318,47,3,0,0,0,0,0,49
POA6320,44,3,3,0,0,0,0,56
POA6321,35,8,0,0,0,0,0,37
POA6322,25,0,0,0,0,0,0,27
POA6323,62,18,9,0,0,0,4,89
POA6324,283,47,15,4,0,0,6,356
POA6326,38,6,0,0,0,0,3,50
POA6327,27,8,4,0,0,0,0,35
POA6328,35,3,3,0,0,0,0,42
POA6330,2884,546,168,36,7,5,36,3680
POA6333,451,89,24,0,0,0,0,561
POA6335,81,6,4,0,0,0,0,89
POA6336,29,5,0,0,0,0,0,34
POA6337,49,8,3,0,0,0,4,63
POA6338,60,8,6,0,0,0,0,74
POA6341,38,0,0,0,0,0,0,39
POA6343,33,0,0,0,0,0,0,32
POA6346,66,6,6,0,0,0,0,79
POA6348,76,13,7,0,0,0,0,87
POA6350,16,6,4,0,0,0,0,22
POA6351,9,0,0,0,0,0,0,9
POA6352,10,3,0,0,0,0,0,16
POA6353,82,3,7,0,0,0,0,96
POA6355,44,0,0,0,0,0,0,49
POA6356,9,0,0,0,0,0,0,13
POA6357,3,0,0,0,0,0,0,6
POA6358,6,0,0,0,0,0,0,13
POA6359,32,0,0,0,0,0,0,35
POA6361,8,0,0,0,0,0,0,7
POA6363,9,0,0,0,0,0,0,13
POA6365,44,4,3,0,0,0,0,56
POA6367,20,0,0,0,0,0,0,25
POA6368,10,3,0,0,0,0,0,6
POA6369,56,5,0,0,0,0,0,57
POA6370,39,3,0,0,0,0,0,36
POA6372,4,0,0,0,0,0,0,4
POA6373,15,0,0,0,0,0,0,15
POA6375,55,9,5,0,0,0,0,78
POA6383,41,11,0,0,0,0,0,60
POA6384,4,0,0,0,0,0,0,4
POA6385,0,0,0,0,0,0,0,0
POA6386,11,0,0,0,0,0,0,6
POA6390,139,35,9,3,0,0,0,181
POA6391,96,8,8,0,0,0,0,110
POA6392,36,0,0,0,0,0,0,36
POA6393,14,0,0,0,0,0,0,12
POA6394,42,7,0,0,0,0,0,48
POA6395,139,14,6,0,0,0,3,171
POA6396,43,0,0,0,0,0,0,43
POA6397,4,0,0,0,0,0,0,8
POA6398,20,6,0,0,0,0,0,31
POA6401,514,108,41,9,0,0,14,688
POA6403,11,6,0,0,0,0,0,14
POA6405,27,6,4,0,0,0,0,36
POA6407,87,8,4,0,0,0,3,102
POA6409,34,5,0,0,0,0,0,38
POA6410,54,12,9,0,0,0,0,73
POA6411,10,0,0,0,0,0,0,10
POA6412,10,0,0,0,0,0,0,10
POA6413,8,0,0,0,0,0,0,8
POA6414,6,0,0,0,0,0,0,6
POA6415,203,36,15,8,0,0,3,260
POA6418,60,9,0,0,0,0,0,65
POA6419,4,0,0,0,0,0,0,3
POA6420,11,0,0,0,0,0,0,11
POA6421,20,0,0,0,0,0,0,20
POA6422,9,0,0,0,0,0,0,9
POA6423,8,0,0,0,0,0,0,8
POA6424,7,0,0,0,0,0,0,4
POA6425,9,0,0,0,0,0,0,9
POA6426,44,5,3,0,0,0,0,45
POA6427,0,0,0,0,0,0,0,0
POA6428,3,0,0,0,0,0,0,3
POA6429,39,11,4,0,0,0,0,60
POA6430,2114,377,129,24,7,0,24,2678
POA6431,40,3,0,4,0,3,5,53
POA6432,467,100,56,8,0,0,3,632
POA6434,0,0,0,0,0,0,0,0
POA6436,9,0,0,0,0,0,0,7
POA6437,44,8,4,0,0,0,0,50
POA6438,21,10,3,0,0,0,0,35
POA6440,21,4,0,3,0,0,6,35
POA6442,177,30,11,6,0,0,9,231
POA6443,19,7,4,0,0,0,0,27
POA6445,15,0,5,0,0,0,0,20
POA6446,13,0,0,0,0,0,0,13
POA6447,19,0,0,0,0,0,0,24
POA6448,25,3,0,0,0,0,0,35
POA6450,1018,171,66,13,4,0,9,1284
POA6452,0,0,0,0,0,0,0,0
POA6460,49,12,4,0,0,0,0,65
POA6461,41,5,3,0,0,0,0,49
POA6462,15,3,0,0,0,0,0,18
POA6463,7,0,0,0,0,0,0,7
POA6465,4,0,0,0,0,0,0,4
POA6466,4,0,0,0,0,0,0,5
POA6467,3,0,0,0,0,0,0,3
POA6468,18,0,0,0,0,0,0,25
POA6470,3,0,0,0,0,0,0,0
POA6472,15,3,0,0,0,0,0,15
POA6473,9,0,0,0,0,0,0,9
POA6475,23,0,0,0,0,0,0,34
POA6476,3,0,0,0,0,0,0,3
POA6477,12,0,0,0,0,0,0,20
POA6479,48,4,0,0,0,0,0,58
POA6480,6,0,0,0,0,0,0,3
POA6484,0,0,0,0,0,0,0,0
POA6485,20,3,0,0,0,0,0,28
POA6487,3,0,0,0,0,0,0,3
POA6488,8,0,0,0,0,0,0,9
POA6489,3,0,0,0,0,0,0,7
POA6490,19,0,0,0,0,0,0,21
POA6501,85,15,7,0,0,0,0,115
POA6502,79,24,4,0,0,0,0,112
POA6503,191,34,8,5,0,0,4,238
POA6504,16,4,0,0,0,0,0,19
POA6505,17,0,0,0,0,0,0,18
POA6506,4,0,0,0,0,0,0,4
POA6507,41,3,0,0,0,0,0,42
POA6509,13,0,0,0,0,0,0,16
POA6510,127,27,0,3,0,0,0,168
POA6511,30,8,0,0,0,0,0,38
POA6512,9,0,0,0,0,0,0,9
POA6513,13,0,3,0,0,0,0,21
POA6514,27,3,4,0,0,0,0,32
POA6515,23,3,4,0,0,0,0,29
POA6516,103,38,9,0,0,0,0,152
POA6517,34,0,0,0,0,0,0,35
POA6518,12,4,0,0,0,0,0,9
POA6519,41,10,0,0,0,0,0,57
POA6521,25,0,0,0,0,0,0,28
POA6522,40,3,0,0,0,0,0,47
POA6525,238,52,18,3,0,0,5,316
POA6528,27,3,0,0,0,0,0,40
POA6530,2368,549,168,35,8,9,35,3168
POA6532,622,173,28,10,0,0,8,848
POA6535,86,17,4,0,0,0,4,114
POA6536,85,25,4,0,0,0,0,105
POA6537,57,12,0,0,0,0,0,72
POA6556,174,53,10,4,0,0,0,242
POA6558,67,16,3,4,0,0,0,88
POA6560,100,19,6,4,0,0,6,136
POA6562,107,34,8,0,0,0,0,152
POA6564,19,5,0,0,0,0,0,30
POA6566,164,58,5,3,0,0,7,245
POA6567,29,16,0,0,0,0,0,44
POA6568,20,0,3,0,0,0,0,23
POA6569,19,5,3,0,0,0,0,23
POA6571,8,0,0,0,0,0,0,8
POA6572,8,0,0,0,0,0,0,6
POA6574,12,0,0,0,0,0,0,13
POA6575,11,0,0,0,0,0,0,11
POA6603,85,6,5,0,0,0,0,100
POA6605,7,0,0,0,0,0,0,7
POA6606,9,3,0,0,0,0,0,10
POA6608,13,0,0,0,0,0,0,16
POA6609,84,13,0,0,0,0,0,98
POA6612,13,0,0,0,0,0,0,13
POA6613,4,0,0,0,0,0,0,4
POA6614,0,0,0,0,0,0,0,0
POA6616,8,0,0,0,0,0,0,8
POA6620,22,0,0,0,0,0,0,26
POA6623,39,11,0,0,0,0,0,50
POA6625,10,0,0,0,0,0,0,10
POA6627,0,0,0,0,0,0,0,4
POA6628,0,0,0,0,0,0,0,0
POA6630,27,3,0,4,0,0,0,33
POA6631,0,0,0,0,0,0,0,0
POA6632,8,0,0,0,0,0,0,8
POA6635,5,0,0,0,0,0,0,13
POA6638,13,0,0,0,0,0,0,18
POA6639,0,0,0,0,0,0,0,0
POA6640,3,0,0,0,0,0,0,3
POA6642,40,5,0,0,0,0,4,52
POA6646,6,0,0,0,0,0,0,9
POA6701,308,55,25,11,4,0,6,408
POA6705,10,0,0,4,0,0,0,18
POA6707,244,53,10,0,0,0,3,308
POA6710,75,5,0,0,0,0,0,86
POA6712,0,0,0,0,0,0,0,0
POA6713,163,23,5,0,0,0,0,193
POA6714,1760,271,102,15,3,0,6,2169
POA6716,17,5,3,0,0,0,0,24
POA6718,33,9,3,4,0,0,3,49
POA6720,229,28,16,6,0,0,6,285
POA6721,406,73,25,8,0,0,4,512
POA6722,929,169,99,20,11,3,11,1234
POA6725,840,152,51,15,9,6,24,1100
POA6726,422,68,14,4,8,0,13,531
POA6728,275,40,11,28,4,5,13,380
POA6740,80,15,6,8,0,0,0,107
POA6743,412,74,15,26,0,0,11,538
POA6751,317,46,35,3,0,0,0,402
POA6753,427,74,44,14,0,0,5,562
POA6754,81,26,0,0,0,0,0,116
POA6758,9,0,0,0,0,0,0,7
POA6760,17,4,0,3,0,0,3,26
POA6762,10,0,0,4,0,0,9,22
POA6765,103,7,11,18,0,0,9,148
POA6770,186,27,13,20,8,0,11,262
